source,new_source,group,dijkstra_dheap,rdijkstra_dag_dheap,rdijkstra_tree_dheap,rauction_dag_dheap,rauction_tree_dheap,dijkstra_radix,rdijkstra_dag_radix,rdijkstra_tree_radix,rauction_dag_radix,rauction_tree_radix
138279,112053,8,41.864,39.678,40.829,2.193,2.039,19.484,18.010,18.531,2.225,3.275
138279,107304,9,43.313,40.419,40.341,2.225,2.079,18.318,17.735,19.761,2.397,2.306
138279,107304,9,40.582,39.093,39.611,2.264,2.006,19.838,17.724,18.086,2.321,2.084
138279,52781,9,38.667,39.860,38.891,2.196,2.071,19.128,17.765,18.170,2.185,2.016
138279,52781,9,38.750,39.286,39.693,2.223,2.001,18.458,17.687,17.622,2.193,2.040
138279,32195,9,39.428,43.858,46.119,2.260,2.003,19.233,18.609,18.654,2.199,2.053
138279,32195,9,40.408,38.491,38.260,2.246,2.006,20.001,17.739,17.458,2.263,2.005
138279,159687,10,39.384,40.591,42.971,4.422,4.014,18.928,18.574,18.074,4.209,4.080
138279,159687,10,39.041,40.364,39.007,4.255,4.073,18.308,18.748,17.881,4.176,4.062
138279,17495,10,47.606,48.195,46.401,2.820,2.105,22.292,20.293,23.332,2.382,2.082
138279,17495,10,49.142,48.716,49.404,2.191,2.017,21.794,23.218,20.775,2.179,2.153
138279,28268,10,43.708,38.639,40.122,2.180,2.007,18.948,18.681,17.545,2.203,2.004
138279,28268,10,39.826,42.426,39.411,2.207,2.007,18.370,17.645,17.631,2.197,2.018
83793,70619,1,39.124,40.152,38.847,206.589,208.067,18.720,19.007,17.969,196.381,207.601
83793,70619,1,39.417,39.894,39.098,205.484,207.266,19.493,17.683,20.114,210.001,209.665
83793,153521,1,39.665,38.703,41.252,72.164,73.621,18.967,17.695,18.127,74.609,73.448
83793,153521,1,40.390,38.900,38.894,74.113,74.947,18.912,17.724,17.849,74.627,75.100
83793,137845,1,41.686,40.038,39.655,20.334,20.821,18.878,17.774,18.620,19.618,20.680
83793,137845,1,39.199,40.181,38.821,19.633,22.289,18.924,17.642,17.605,19.505,22.189
83793,33452,2,40.553,38.974,40.685,2.295,2.058,18.654,17.680,17.588,2.175,2.078
83793,33452,2,41.420,38.502,38.842,2.185,2.641,20.598,17.894,17.570,2.189,2.034
83793,131746,2,38.720,39.673,38.674,2.210,2.037,19.253,18.127,18.119,2.225,2.050
83793,131746,2,39.103,39.624,39.046,2.179,2.031,18.950,17.701,18.058,2.239,2.049
83793,30395,2,40.425,38.654,40.654,2.264,2.030,18.739,17.552,17.659,2.184,2.049
83793,30395,2,39.832,39.180,38.663,2.178,2.041,23.298,18.800,17.934,2.169,2.030
83793,18315,3,49.143,44.319,49.195,5.185,5.079,26.217,25.503,22.947,5.016,4.468
83793,18315,3,51.912,52.322,57.989,4.719,4.836,25.163,22.834,25.287,4.239,4.789
83793,91840,3,53.807,62.691,63.301,2.282,3.038,22.154,21.261,20.467,2.193,2.073
83793,91840,3,42.805,54.233,40.987,2.220,2.062,22.215,20.992,20.435,2.429,2.359
83793,80493,3,54.335,55.408,53.032,6.870,6.558,24.368,21.601,21.998,6.746,6.686
83793,80493,3,51.190,52.088,46.576,7.627,6.500,24.730,22.683,21.402,7.365,6.507
83793,2422,4,55.008,48.734,45.601,2.212,2.041,21.379,19.302,19.843,2.206,2.132
83793,2422,4,46.365,48.764,48.473,2.342,2.208,21.600,21.806,20.377,2.210,2.093
83793,146792,4,48.513,47.990,48.107,2.449,2.060,24.934,25.298,21.565,3.225,2.166
83793,146792,4,51.006,54.520,50.757,2.261,2.112,24.160,22.262,21.003,3.019,2.356
83793,16173,4,40.418,40.648,41.076,2.215,3.100,18.872,17.762,17.711,2.190,2.039
83793,16173,4,44.254,40.082,40.107,2.269,2.022,19.498,17.933,17.789,2.203,2.036
83793,11157,5,40.651,40.931,40.569,4.231,4.213,18.740,18.661,17.803,4.210,4.335
83793,11157,5,39.257,39.110,40.348,4.361,4.223,19.651,18.338,18.818,4.442,4.350
83793,139034,5,38.911,43.917,38.936,8.664,8.774,18.892,17.933,17.775,8.396,8.887
83793,139034,5,39.124,39.782,41.991,8.642,9.006,19.478,18.579,18.208,8.609,8.964
83793,125848,5,39.792,41.287,43.081,4.578,4.178,19.617,19.360,19.936,4.255,4.373
83793,125848,5,43.253,42.986,39.980,4.250,4.389,18.822,18.100,18.405,4.306,4.348
83793,75553,6,41.204,41.997,42.299,8.885,9.255,19.735,18.576,18.590,8.708,9.276
