source,new_source,group,dijkstra_dheap,rdijkstra_dheap,dijkstra_radix,rdijkstra_radix
87560,18985,65,14.026,14.285,13.012,13.881
87560,18985,65,13.977,14.462,12.617,13.488
87560,22837,66,13.943,14.190,12.747,13.758
87560,22837,66,14.337,14.505,12.783,13.523
87560,77646,66,13.606,14.003,12.846,13.663
87560,77646,66,13.927,14.718,12.561,13.925
87560,84117,66,13.572,13.981,14.310,15.547
87560,84117,66,14.342,14.001,12.936,14.162
87560,38733,67,15.642,14.448,13.321,14.422
87560,38733,67,15.015,14.713,13.213,14.109
87560,72485,67,13.797,13.913,12.596,13.681
87560,72485,67,14.202,14.092,12.986,13.996
87560,59386,67,14.290,14.810,12.597,13.949
87560,59386,67,14.199,13.992,12.953,13.582
87560,87274,68,13.414,13.696,12.606,13.541
87560,87274,68,13.590,14.125,12.512,13.565
87560,5013,68,13.850,14.035,13.102,14.495
87560,5013,68,14.062,13.984,12.910,13.904
87560,75414,68,14.040,14.690,15.645,16.565
87560,75414,68,17.570,17.652,13.748,14.461
87560,81358,69,16.001,15.231,14.693,14.418
87560,81358,69,14.618,15.485,13.537,14.574
87560,73758,69,15.021,15.990,13.523,13.656
87560,73758,69,14.614,14.829,13.224,14.340
87560,17222,69,13.778,14.227,12.822,13.722
87560,17222,69,13.999,14.288,12.785,13.708
87560,73957,70,14.283,14.414,12.934,13.731
87560,73957,70,13.701,14.050,12.807,13.653
87560,69110,70,14.233,13.964,12.569,13.803
87560,69110,70,14.185,14.110,12.535,13.398
87560,89884,70,17.436,16.315,13.102,14.123
87560,89884,70,14.697,14.162,12.794,13.951
87560,33269,71,14.000,14.251,12.813,13.776
87560,33269,71,14.076,13.959,12.473,13.500
87560,10449,71,14.036,14.388,13.060,13.787
87560,10449,71,14.353,14.274,12.787,13.744
87560,96378,71,14.371,14.095,12.906,14.034
87560,96378,71,14.345,13.679,12.693,13.915
87560,5878,72,14.144,15.027,12.836,13.768
87560,5878,72,13.863,14.528,12.632,13.622
87560,98358,72,14.169,14.014,12.434,13.828
87560,98358,72,14.213,14.221,12.466,13.327
87560,53405,72,15.092,14.356,12.961,13.968
87560,53405,72,14.072,14.200,13.051,14.114
87560,59093,73,13.965,14.145,12.733,13.867
87560,59093,73,14.269,13.744,12.341,13.147
87560,97349,73,13.779,14.099,12.706,13.805
87560,97349,73,14.193,14.461,12.820,13.785
87560,96626,73,13.891,14.603,12.947,13.721
87560,96626,73,13.869,14.287,12.837,13.629
87560,3705,74,14.063,14.247,12.992,13.676
87560,3705,74,13.968,14.157,12.512,13.838
87560,90718,74,13.848,14.407,12.989,14.170
87560,90718,74,15.637,15.280,12.381,13.921
87560,18126,74,15.297,27.722,22.535,17.919
87560,18126,74,29.662,19.259,14.336,15.312
87560,40019,75,14.953,15.223,13.753,14.490
87560,40019,75,14.285,14.788,13.244,14.886
87560,29510,75,15.440,15.334,13.279,14.390
87560,29510,75,14.607,14.773,13.329,15.099
87560,44682,75,14.277,14.033,12.912,13.582
87560,44682,75,14.223,14.251,12.637,13.807
87560,16044,76,19.448,14.946,13.690,14.893
87560,16044,76,15.130,15.178,14.169,14.604
87560,87377,76,14.573,14.914,13.401,14.079
87560,87377,76,14.378,16.090,16.987,14.620
87560,50194,76,14.988,15.170,13.471,13.767
87560,50194,76,14.623,14.530,13.076,14.567
87560,14466,77,14.061,14.246,12.845,13.632
87560,14466,77,13.983,22.631,29.167,29.140
87560,79106,77,15.892,15.364,14.024,15.320
87560,79106,77,15.459,15.672,13.540,14.965
87560,80359,77,15.007,15.310,13.723,14.402
87560,80359,77,14.696,14.938,13.230,14.691
87560,25796,78,15.442,15.757,13.478,14.663
87560,25796,78,14.928,14.732,12.915,14.306
87560,38429,78,18.833,19.898,17.287,18.118
87560,38429,78,16.346,17.637,14.223,15.792
87560,38710,78,14.801,14.746,13.687,14.757
87560,38710,78,14.641,14.709,13.732,14.653
87560,90004,79,14.611,14.549,13.404,14.155
87560,90004,79,14.546,14.605,13.642,13.861
87560,46115,79,14.557,13.708,12.559,13.527
